job_id,company,title,location,posted_date,url,source_url,score,matched_rules,collected_at_utc
a49e41b4ab3ddcf3,Parexel,"Biostatistician II United Kingdom, Remote Biostatistics",,,https://jobs.parexel.com/en/job/united-kingdom/biostatistician-ii/877/98126637360,https://jobs.parexel.com/en/search-jobs/biostatistician,65,biostatistics; statistician; remote,2026-09-17T10:39:11+00:00
cd5c12766ad0453d,Parexel,"Senior Biostatistician / Biostatistician III United Kingdom, Remote Biostatistics",,,https://jobs.parexel.com/en/job/united-kingdom/senior-biostatistician-biostatistician-iii/877/97791841168,https://jobs.parexel.com/en/search-jobs/biostatistician,65,biostatistics; statistician; remote,2026-09-17T10:39:11+00:00
3c82df6b7fd3b2b8,Amgen,"Aug. 13, 2026 Manager Biostatistics (Study Statistician and / or Study Lead Statistician) India - Hyderabad",,,https://careers.amgen.com/en/job/hyderabad/manager-biostatistics-study-statistician-and-or-study-lead-statistician/87/92297751376,https://careers.amgen.com/en/search-jobs/Statistics/87/1,60,biostatistics; statistician,2026-09-17T10:39:11+00:00
d8cac82f189e127c,ICON,Principal Biostatistician,,,https://careers.iconplc.com/job/principal-biostatistician-in-poland-warsaw-jid-52583,https://careers.iconplc.com/biostatistics-jobs,60,biostatistics; statistician,2026-09-17T10:39:05+00:00
59fbaa99cc4244db,ICON,Principal Biostatistician,,,https://careers.iconplc.com/job/principal-biostatistician-in-india-bangalore-jid-52579,https://careers.iconplc.com/biostatistics-jobs,60,biostatistics; statistician,2026-09-17T10:39:05+00:00
e551c8e8ffcb45bc,ICON,Senior Biostatistician,,,https://careers.iconplc.com/job/senior-biostatistician-in-poland-warsaw-jid-53345,https://careers.iconplc.com/biostatistics-jobs,60,biostatistics; statistician,2026-09-17T10:39:05+00:00
5292a01ed1b520e6,ICON,Senior Principal Biostatistician,,,https://careers.iconplc.com/job/senior-principal-biostatistician-in-uk-reading-jid-53742,https://careers.iconplc.com/biostatistics-jobs,60,biostatistics; statistician,2026-09-17T10:39:05+00:00
7f610fe01b254d15,Amgen,"Aug. 13, 2026 Senior Associate - RWE Obesity Statistical Programming India - Hyderabad",,,https://careers.amgen.com/en/job/hyderabad/senior-associate-rwe-obesity-statistical-programming/87/92311784800,https://careers.amgen.com/en/search-jobs/Statistics/87/1,45,statistical programming; RWE,2026-09-17T10:39:11+00:00
b2e79ace0ed47bad,Amgen,"Sep. 10, 2026 Senior Director, Biostatistics United States - Remote",,,https://careers.amgen.com/en/job/washington-d-c/senior-director-biostatistics/87/100456901456,https://careers.amgen.com/en/search-jobs/Statistics/87/1,40,biostatistics; remote,2026-09-17T10:39:11+00:00
34ecc2a1ebf4c7c3,Amgen,"Aug. 13, 2026 Biostatistics Manager, Centralized Statistical Monitoring (CSM) India - Hyderabad",,,https://careers.amgen.com/en/job/hyderabad/biostatistics-manager-centralized-statistical-monitoring-csm/87/95052479936,https://careers.amgen.com/en/search-jobs/Statistics/87/1,35,biostatistics,2026-09-17T10:39:11+00:00
